"Tri-County High School, Plainfield",77
"Wautoma High School, Wautoma",77
"Wild Rose High School, Wild Rose",77
Winnebago County,77
"Lourdes High School, Oshkosh [65]",77
"Menasha High School, Menasha",77
"Neenah High School, Neenah",77
"Omro High School, Omro",77
"Oshkosh North High School, Oshkosh",77
"Oshkosh West High School, Oshkosh",77
"St. Mary Central High School, Neenah",77
"Winneconne High School, Winneconne",77
Wood County,78
"Assumption High School, Wisconsin Rapids",78
"Auburndale High School, Auburndale",78
"Columbus Catholic High School, Marshfield",78
"John Edwards High School, Port Edwards",78
"Lincoln High School, Wisconsin Rapids [66]",78
"Marshfield High School, Marshfield",78
"Nekoosa High School, Nekoosa",78
"Pittsville High School, Pittsville",78
"River Cities High School, Wisconsin Rapids",78
